Index,0:？,1:？
0,TEXT_COMDEFSANCTION_00086_FLAMEMAGE_001,"本人是<switch ( <var:1> ) { 大国防联军“黑涡团” , 大国防联军“双蛇党” , 大国防联军“恒辉队” }>的魔法工兵！"
1,TEXT_COMDEFSANCTION_00086_FLAMEMAGE_006,"本人是<switch ( <var:1> ) { 大国防联军“黑涡团” , 大国防联军“双蛇党” , 大国防联军“恒辉队” }>的魔法工兵！<br>负责给军阶在<switch ( <var:1> ) { 漩士长 , 牙士长 , 耀士长 }>以上的人员赋予“神应”！"
2,TEXT_COMDEFSANCTION_00086_FLAMEMAGE_Q00,要做什么？
3,TEXT_COMDEFSANCTION_00086_FLAMEMAGE_A01,接受“神应”
4,TEXT_COMDEFSANCTION_00086_FLAMEMAGE_A02,什么是“神应”？
5,TEXT_COMDEFSANCTION_00086_FLAMEMAGE_A03,取消
6,TEXT_COMDEFSANCTION_00086_FLAMEMAGE_011,"伟大的工艺神比尔格啊……<br>请将您的加护赐予<name:玩家全名><switch ( <var:1> ) { <GCRankLimsaMaleText:<var:2>:0> , <GCRankGridaniaMaleText:<var:2>:0> , <GCRankUldahMaleText:<var:2>:0> }>阁下吧……"
7,TEXT_COMDEFSANCTION_00086_FLAMEMAGE_012,"好了，“神应”的赋予完成了！<br><switch ( <var:1> ) { <GCRankLimsaMaleText:<var:2>:0> , <GCRankGridaniaMaleText:<var:2>:0> , <GCRankUldahMaleText:<var:2>:0> }>阁下，<br>愿您今后能够旗开得胜！"
8,TEXT_COMDEFSANCTION_00086_FLAMEMAGE_016,"神应是<switch ( <var:1> ) { 大国防联军“黑涡团” , 大国防联军“双蛇党” , 大国防联军“恒辉队” }><br>与“艾欧泽亚城邦军事同盟”的加盟城邦<br>共同开发出的装备强化术。"
9,TEXT_COMDEFSANCTION_00086_FLAMEMAGE_017,对在制造阶段施加了“特殊魔法加工”的武器防具，<br>附加一种强化魔法。<br>这样可以暂时提高其强度和性能。
10,TEXT_COMDEFSANCTION_00086_FLAMEMAGE_018,"我们<switch ( <var:1> ) { “黑涡团” , “双蛇党” , “恒辉队” }>目前正在增产作为对象的装备。<br>军阶在<switch ( <var:1> ) { 漩士长 , 牙士长 , 耀士长 }>以上的人员，<br>可以凭军票换取这些装备。"
