key,0,1
#,,
int32,str,str
0,"TEXT_CMNRADENTERTOTORAK_00004_BLOISIRANT_1","この奥「トトラクの千獄」は
グリダニア「鬼哭隊伍番槍」の管轄である。
冒険者、用件を簡潔に述べたまえ。"
1,"TEXT_CMNRADENTERTOTORAK_00004_Q1_1","用件は？"
2,"TEXT_CMNRADENTERTOTORAK_00004_A1_1","「監獄廃墟トトラクの千獄」の開始条件について聞く"
3,"TEXT_CMNRADENTERTOTORAK_00004_A1_2","「監獄廃墟トトラクの千獄」を開始する"
4,"TEXT_CMNRADENTERTOTORAK_00004_A1_3","キャンセル"
5,"TEXT_CMNRADENTERTOTORAK_00004_BLOISIRANT_5","「トトラクの千獄」は、特別危険区域に指定されている。
人数と参加資格に制限があるため、気をつけよ。"
6,"TEXT_CMNRADENTERTOTORAK_00004_SYSTEM_6","「監獄廃墟トトラクの千獄」を開始するためには、
ファイター＆ソーサラーのレベル23以上のプレイヤー4名で
パーティを組む必要があります。"
7,"TEXT_CMNRADENTERTOTORAK_00004_SYSTEM_8","なお、レベル26以上の場合、攻略中はレベル25扱いとなります。"
8,"TEXT_CMNRADENTERTOTORAK_00004_SYSTEM_7","（地球時間）90分が経過すると
強制的に「監獄廃墟トトラクの千獄」は終了します。"
9,"TEXT_CMNRADENTERTOTORAK_00004_SYSTEM_9","戦利品が残っている状態で「トトラクの千獄」から出ると
自動的に、戦利品目録にあるすべてのアイテムを入手します。
入手できなかったアイテムは破棄されますので、ご注意ください。"
10,"TEXT_CMNRADENTERTOTORAK_00004_Q2_1","「監獄廃墟トトラクの千獄」を開始しますか？"
11,"TEXT_CMNRADENTERTOTORAK_00004_A2_1","はい"
12,"TEXT_CMNRADENTERTOTORAK_00004_A2_2","いいえ"
13,"TEXT_CMNRADENTERTOTORAK_00004_SYSTEM_10","<Sheet(InstanceContentTextData,IntegerParameter(1),0)/>「<Sheet(InstanceContent,IntegerParameter(2),3)/>」を開始できませんでした。
開始条件を確認してください。"
14,"TEXT_CMNRADENTERTOTORAK_00004_SYSTEM_20","「監獄廃墟トトラクの千獄」が、
コンテンツファインダーに登録されました。"
