Index,0:？,1:？
0,TEXT_CMNDEFTOMESTONECONVERT_00391_WHICH_Q,要做什么？
1,TEXT_CMNDEFTOMESTONECONVERT_00391_WHICH_CANCEL,取消
2,TEXT_CMNDEFTOMESTONECONVERT_00391_HELP,<Item:<var:1>:0>？<br>罗薇娜说那石头卖不出去，所以停止交易了。<br>……因为收藏家总是会立刻找到下一个“猎物”。
3,TEXT_CMNDEFTOMESTONECONVERT_00391_TALK_NOT_HAVE,如果你需要的话，我可以用<Item:<var:2>:0>和你交换……<br>不过前提是你如果有<Item:<var:1>:0>的话。
4,TEXT_CMNDEFTOMESTONECONVERT_00391_TALK_Q,如果你需要的话，<br>我可以用<Item:<var:3>:0>换你的<Item:<var:1>:0>。<br>我至少能赚点零花钱。
5,TEXT_CMNDEFTOMESTONECONVERT_00391_EXCHANGE_Q,要用“<Item:<var:1>:0>”×<var:2><br>换取“<Item:<var:3>:0>”×<var:4>吗？
6,TEXT_CMNDEFTOMESTONECONVERT_00391_EXCHANGE_YES,交换
7,TEXT_CMNDEFTOMESTONECONVERT_00391_EXCHANGE_NO,取消
8,TEXT_CMNDEFTOMESTONECONVERT_00391_TALK_NOT_GET,你根本拿不了这么多<Item:<var:1>:0>啊。
9,TEXT_CMNDEFTOMESTONECONVERT_00391_OVERMAX_Q,确定要交换吗？<br>你的<Item:<var:1>:0>会超出持有上限，<br>超出的部分会被浪费。
