Index,0:？,1:？
0,TEXT_HOUFIXCOMPANYSUBMARINE_00447_TALK_ACTOR,0
1,TEXT_HOUFIXCOMPANYSUBMARINE_00447_SUBMARINE_SELECT_TITLE_0,请登记潜水艇。
2,TEXT_HOUFIXCOMPANYSUBMARINE_00447_SUBMARINE_SELECT_TITLE,请选择潜水艇。<br>　探索机体数：<var:2>/<var:3><br>　所持燃料数：桶装青磷水　<var:1>桶
3,TEXT_HOUFIXCOMPANYSUBMARINE_00447_ADD_NEW_SUBMARINE,登记新的潜水艇（潜水艇登记票×<var:1>张）
4,TEXT_HOUFIXCOMPANYSUBMARINE_00447_SUBMARINE_NAME,<input:1>  [<var:5>级]  <switch ( <var:2> ) {  }>
5,TEXT_HOUFIXCOMPANYSUBMARINE_00447_SUBMARINE_NAME_FINISH,<input:1>  [<var:5>级]  [探索完成]
6,TEXT_HOUFIXCOMPANYSUBMARINE_00447_SUBMARINE_SELECT_EXIT,取消
7,TEXT_HOUFIXCOMPANYSUBMARINE_00447_SUBMARINE_CMD_TITLE,<input:1> [<var:3>级]<br>　探索机体数：<var:4>/<var:5><br>　所持燃料数：桶装青磷水　<var:2>桶
8,TEXT_HOUFIXCOMPANYSUBMARINE_00447_SUBMARINE_CMD_EXPEDITION,出发
9,TEXT_HOUFIXCOMPANYSUBMARINE_00447_SUBMARINE_CMD_RESULT,上次的远航报告
10,TEXT_HOUFIXCOMPANYSUBMARINE_00447_SUBMARINE_CMD_PARTS,更换配件
11,TEXT_HOUFIXCOMPANYSUBMARINE_00447_SUBMARINE_CMD_REPAIR_PARTS,修理配件
12,TEXT_HOUFIXCOMPANYSUBMARINE_00447_SUBMARINE_CMD_SETTING,设置
13,TEXT_HOUFIXCOMPANYSUBMARINE_00447_SUBMARINE_CONF_COLOR,对配件染色
14,TEXT_HOUFIXCOMPANYSUBMARINE_00447_SUBMARINE_CONF_NAME,更改名字
15,TEXT_HOUFIXCOMPANYSUBMARINE_00447_SUBMARINE_CONF_REMOVE,解体
16,TEXT_HOUFIXCOMPANYSUBMARINE_00447_SUBMARINE_VOY_TITLE,<input:1> [<var:2>级]<br>　探索机体数：<var:3>/<var:4><br>　正在探索：剩余时间 <if (<var:5> > 0) { <var:5>天 }><if (<var:6> > 0) { <var:6>小时 } else { <if (<var:5> > 0) { <var:6>小时 }> }><var:7>分钟
17,TEXT_HOUFIXCOMPANYSUBMARINE_00447_SUBMARINE_VOY_CUR_COND,中止探索
18,TEXT_HOUFIXCOMPANYSUBMARINE_00447_SUBMARINE_VOY_CUR_MAP,确认海底图
19,TEXT_HOUFIXCOMPANYSUBMARINE_00447_SUBMARINE_VOY_CUR_STATUS,确认潜水艇
20,TEXT_HOUFIXCOMPANYSUBMARINE_00447_SUBMARINE_NAME_TITLE,请输入潜水艇的名字。
21,TEXT_HOUFIXCOMPANYSUBMARINE_00447_SUBMARINE_NAME_CAPTION,潜水艇的名字
22,TEXT_HOUFIXCOMPANYSUBMARINE_00447_SUBMARINE_NAME_MES_0,"名称中可以使用汉字、字母、数字、空格以及下列符号。<br>{{color|id=508|‘. , : ; ! ? & - _}}<br>·空格与下划线无法连续使用。<br>·空格无法用在开头和结尾。<br>·无法创建只使用符号的名称。"
23,TEXT_HOUFIXCOMPANYSUBMARINE_00447_REMOVE_SUBMARINE_TITLE,确定要对潜水艇<input:1>进行解体吗？<br>{{color|id=508|正在装备的道具将会被返还，<br>但不会返还潜水艇登记票。<br>潜水艇等级等情报也会被全部清空。}}
24,TEXT_HOUFIXCOMPANYSUBMARINE_00447_REMOVE_SUBMARINE_CHECK,对潜水艇进行解体
25,TEXT_HOUFIXCOMPANYSUBMARINE_00447_NO_REGISTRATION_1,要对潜水艇进行登记，<br>需要潜水艇登记票和潜水艇配件。
26,TEXT_HOUFIXCOMPANYSUBMARINE_00447_NO_REGISTRATION_2,可以使用部队战绩和住宅区管理人交换潜水艇登记票。
27,TEXT_HOUFIXCOMPANYSUBMARINE_00447_NO_REGISTRATION_3,需要4种潜水艇配件，分别是：<br>船体、船尾、船首、舰桥。<br>可以使用部队合建设备来制作。
28,TEXT_HOUFIXCOMPANYSUBMARINE_00447_NO_ENERGY,潜水艇出港需要桶装青磷水。<br>可以使用部队战绩和住宅区管理人交换桶装青磷水。
29,TEXT_HOUFIXCOMPANYSUBMARINE_00447_NO_EXPLOG_1,潜水艇探索结束后会发放远航报告。<br>可以以此确认各目的地的探索详情。
30,TEXT_HOUFIXCOMPANYSUBMARINE_00447_NO_EXPLOG_2,远航报告中也记载着作为探索线索的情报。<br>试着提升潜水艇的装备，<br>立志完成更好的探索。
31,TEXT_HOUFIXCOMPANYSUBMARINE_00447_NO_EXPLOG_3,另外，远航报告会保存最近一次的远航记录，<br>部队成员们一起来确认内容，<br>考虑接下来要制作的潜水艇配件吧。
32,TEXT_HOUFIXCOMPANYSUBMARINE_00447_NO_REPAIR_ITEM,修理潜水艇配件需要魔导机械修理材料。
